,UID No,nvPMDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Superseded,Superseded by UID No,Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),Fuel Naphthalene Content (% vol),Fuel Sulphur Content (ppm by mass),nvPM Mass Concentration Max (mg/m³),nvPM Mass Concentration Characteristic (mg/m³),nvPM Mass Concentration Characteristic (% of CAEP/10 Limit),nvPM Mass Concentration Number Test,nvPM Mass Concentration Number Eng,nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPMmass Number Test,nvPMmass Number Eng,LTOmass/Foo Avg (mg/kN),LTOmass/Foo Characteristic (mg/kN),LTOmass/Foo Characteristic (% of CAEP/11 InP Limit),LTOmass/Foo Characteristic (% of CAEP/11 NT Limit),nvPM LTO Total Mass (mg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM Einum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPMnum Number Test,nvPMnum Number Eng,LTOnum/Foo Avg (#/kN),LTOnum/Foo Characteristic (#/kN),LTOnum/Foo Characteristic (% of CAEP/11 InP Limit),LTOnum/Foo Characteristic (% of CAEP/11 NT Limit),nvPM LTO Total Particle Number (#),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
0,01P14RR101,1,Rolls-Royce plc,Trent 768,Phase5,MTF,5.15,34.4787697332607,304.2583848,,,2.9069647303113686,2.3748954206860398,0.7810058766014495,0.25922439948793935,1027.410187789168,43.1,13.6,19.4,2.0,400.0,374.45834218520514,481.99040054731,11.959474488081408,3,1,84.68403490320918,97.14918305701569,15.22853330715356,4.318170408698972,96.7845101844254,3,1,149.19851067927672,207.39298120555563,59.68143344044766,96.91260803997926,45394.897873842274,296546650977752.6,438072717514541.7,389851711163327.2,547588441291880.8,520415411340541.5,3,1,1538329194682472.2,2138350284518310.0,51.279383321782014,76.91907498267302,4.680495560647738e+17,90.77641636757282,105.20114594915289,18.12727804469039,6.482467236505069,417991854772399.4,655289757405577.9,852621945661641.1,2075222065507558.5,101.0270135890443,101.28212012250194,289.25,293.193,0.00735835,0.00862372,Rolls-Royce plc,Derby,2014-06-02,2014-06-02,Certification Report EDNS01000788666,,,,,,,
1,01P14RR102,1,Rolls-Royce plc,Trent 772,Phase5,MTF,5.03,36.3302939575395,320.271984,,,3.139294606227383,2.530328001048313,0.8213457719717359,0.2703173667180743,1084.67174695334,43.1,13.6,19.4,2.0,400.0,380.6259667305664,489.92916299467936,12.395240860037871,3,1,72.65116620209108,94.91360085183487,17.07082573974269,4.143416826848012,95.78197270438034,3,1,144.85453588803213,201.3546509424967,57.94378444388394,94.09095838434426,46392.84960025925,238247381026259.16,393998451087460.3,408905160552372.0,451572499573154.7,544106661135241.75,3,1,1355224065528219.0,1883825501151263.5,45.17567149043798,67.76350723565696,4.340403002312687e+17,77.6414460670516,102.44486412058957,20.190914208310343,6.067214382799538,338735227180478.94,572987154188161.4,871145760991058.5,1664720854852442.2,101.0270135890443,101.28212012250194,289.25,293.193,0.00735835,0.00862372,Rolls-Royce plc,Derby,2014-06-02,2014-06-02,Certification Report EDNS01000788666,Data valid for Trent 772B and 772C,,,,,,
2,01P18RR103,1,Rolls-Royce plc,Trent 970-84,Phase5 Tiled,TF,8.4501596487727,38.0035383777899,338.749898188,,,2.60541090850444,2.157408247401897,0.7205010735129578,0.25524912556573626,965.3140403398954,43.1155,13.75,17.8,1.67,365.00000000000006,2125.18539307658,2492.3013874476123,64.39105889958017,3,2,63.35311100301673,75.48186418970312,60.848853210868256,6.608771760848439,104.0248805857842,3,2,122.75032570600294,150.65086610947833,43.35276722574916,70.39760098573754,41581.66033545234,245338382727337.3,357934448184677.0,1008964597242928.8,415614623034463.2,1126589419360654.0,3,2,1383740521808342.5,1698257881453537.8,40.725608667950546,61.08841300192582,4.6874196088118605e+17,68.51742952384289,82.37115092429372,71.54682630589735,8.801261369638917,324486222667973.9,559982259276008.2,2509245142738334.0,1042639598511521.8,99.7,100.5,276.6,286.7,0.0024,0.01116,Rolls-Royce plc,Derby,2015-11-18,2016-04-25,Certification Report EDNS01000750023,,,,,,,
3,01P18RR104,1,Rolls-Royce plc,Trent 972-84,Phase5 Tiled,TF,8.4129438556046,38.6821584104518,345.951569606,,,2.6718124729101778,2.2103027004142852,0.7351257975747679,0.25822018607557934,983.2297620127613,43.1155,13.75,17.8,1.67,365.00000000000006,2125.18539307658,2492.3013874476123,64.89388769099156,3,2,62.44220451118485,73.4883701686262,63.520447275169005,6.4508608703438615,103.963916075731,3,2,122.1369478014058,149.89807044846071,43.136135380852004,70.04582731236482,42253.46879878243,231354800976251.88,340757422589118.75,1028988151191978.9,414788736537249.0,1126023188547559.0,3,2,1370169626286202.5,1681602388667406.2,40.32619637092101,60.48929455638152,4.740123328401782e+17,67.44663382297105,80.09898420381228,74.56600994357191,8.61196288595071,305079245970998.3,519555423745802.5,2543378890463205.0,1045130099020027.2,99.7,100.5,276.6,286.7,0.0024,0.01116,Rolls-Royce plc,Derby,2015-11-18,2016-04-25,Certification Report EDNS01000750023,,,,,,,
4,01P18RR105,1,Rolls-Royce plc,Trent 972E-84,Phase5 Tiled,TF,8.4129438556046,38.6821584104518,345.951569606,,,2.6718124729101778,2.2103027004142852,0.7351257975747679,0.25822018607557934,983.2297620127613,43.1155,13.75,17.8,1.67,365.0,2125.18539307658,2492.3013874476123,64.89388769099156,3,2,62.44220451118485,73.4883701686262,63.520447275169005,6.4508608703438615,103.963916075731,3,2,122.1369478014058,149.89807044846071,43.136135380852004,70.04582731236482,42253.46879878243,231354800976251.88,340757422589118.75,1028988151191978.9,414788736537249.0,1126023188547559.0,3,2,1370169626286202.5,1681602388667406.2,40.32619637092101,60.48929455638152,4.740123328401782e+17,67.44663382297105,80.09898420381228,74.56600994357191,8.61196288595071,305079245970998.3,519555423745802.5,2543378890463205.0,1045130099020027.2,99.7374607844,100.47044272,276.603,286.7,0.002401052,0.011163789,Rolls-Royce plc,Derby,2015-11-18,2016-04-25,Certification Report EDNS01000750023,,,,,,,
5,01P19RR106,1,Rolls-Royce plc,Trent 1000-AE3,Phase5 Tiled,TF,9.14026,43.1771733805117,310.86399447,Yes,02P23RR126,2.326860203917062,1.9080693449050972,0.6425058375417058,0.24369393666777547,883.9572243037285,43.3373,13.97,15.9,0.11,300.0,2649.08102271333,3409.80952852791,85.30502271473796,3,1,55.125101433456564,94.58098280467902,70.32421969755715,18.768610649968654,151.78635404148545,3,1,151.79674557412102,211.00465050614542,60.72076273558141,98.60030397483432,47188.14267671755,173700579311523.4,329819905766269.06,840051614463112.5,446511941156724.75,964254436901839.0,3,1,1284580494848697.8,1785627599178061.8,42.820805735684935,64.2312086035274,3.993298238469154e+17,59.258005946402946,102.47450959069174,81.46453427296801,22.674792722355647,237720341242239.28,492776832094976.1,1888115168740655.8,892189577820407.1,100.77875471159999,101.55899380795,287.0074463,292.5793457,0.008002406,0.009,Rolls-Royce plc,Derby,2018-10-04,2018-10-04,Certification Report EDNS01000740804,,,,,,,
6,01P19RR107,1,Rolls-Royce plc,Trent 1000-CE3,Phase5 Tiled,TF,9.01653,46.0013364180729,334.679775058,Yes,02P23RR127,2.556194449484411,2.089633046307216,0.687370894946929,0.25563963354400393,946.9585721068069,43.3373,13.97,15.9,0.11,300.0,2649.08102271333,3409.80952852791,87.70112029789155,3,1,44.80126458087555,76.31186877612207,76.51558412652786,19.13812549834172,152.9595968848074,3,1,137.78554925305244,191.52842542820744,55.11609364840502,89.49926421878853,46114.036630254566,107891745353601.12,261719357333398.75,867552436838648.4,460138224180249.3,969338256300101.1,3,1,1226232240053483.8,1704520767380433.2,40.87579777890728,61.313696668360905,4.1039513026996736e+17,47.99737991832486,82.39770255055325,88.22466525241452,23.054103172136788,145612462859429.16,373337950813093.6,1935823620003876.2,911539540725719.1,100.77875471159999,101.55899380795,287.0074463,292.5793457,0.008002406,0.009,Rolls-Royce plc,Derby,2018-10-04,2018-10-04,Certification Report EDNS01000740804,,,,,,,
7,01P19RR108,1,Rolls-Royce plc,Trent 1000-D3,Phase5 Tiled,TF,9.01653,46.0013364180729,334.679775058,Yes,02P23RR128,2.556194449484411,2.089633046307216,0.687370894946929,0.25563963354400393,946.9585721068069,43.3373,13.97,15.9,0.11,300.0,2649.08102271333,3409.80952852791,87.70112029789155,3,1,44.80126458087555,76.31186877612207,76.51558412652786,19.13812549834172,152.9595968848074,3,1,137.78554925305244,191.52842542820744,55.11609364840502,89.49926421878853,46114.036630254566,107891745353601.12,261719357333398.75,867552436838648.4,460138224180249.3,969338256300101.1,3,1,1226232240053483.8,1704520767380433.2,40.87579777890728,61.313696668360905,4.1039513026996736e+17,47.99737991832486,82.39770255055325,88.22466525241452,23.054103172136788,145612462859429.16,373337950813093.6,1935823620003876.2,911539540725719.1,100.77875471159999,101.55899380795,287.0074463,292.5793457,0.008002406,0.009,Rolls-Royce plc,Derby,2018-10-04,2018-10-04,Certification Report EDNS01000740804,,,,,,,
8,01P19RR109,1,Rolls-Royce plc,Trent 1000-G3,Phase5 Tiled,TF,9.074,44.6969243331519,323.728252494,Yes,02P23RR129,2.449242492969246,2.0054746640862033,0.6666313868981019,0.25017387885935466,917.8536242402248,43.3373,13.97,15.9,0.11,300.0,2649.08102271333,3409.80952852791,86.61462703801512,3,1,48.684133301814256,84.42712765297314,73.62680073744195,18.985595812091073,152.44306045944788,3,1,143.78423396246515,199.86688068176974,57.51564911705604,93.395738636341,46547.01879685729,136954415726714.83,292072549479383.2,855175901583300.5,453809529141752.06,967110633696283.9,3,1,1252087780329440.8,1740461190338394.0,41.737678425381155,62.60651763807172,4.053361890951412e+17,52.23301095944886,91.303225781449,85.07780827119296,22.900319822729564,185599334775388.22,425024318840276.56,1915605637097649.8,902355842660940.5,100.77875471159999,101.55899380795,287.0074463,292.5793457,0.008002406,0.009,Rolls-Royce plc,Derby,2018-10-04,2018-10-04,Certification Report EDNS01000740804,,,,,,,
9,01P19RR110,1,Rolls-Royce plc,Trent 1000-H3,Phase5 Tiled,TF,9.28204,40.3475857376157,287.137178322,Yes,02P23RR130,2.1075234522261534,1.7323000052919653,0.5983258401624886,0.232309838267461,823.1811350282743,43.3373,13.97,15.9,0.11,300.0,2649.08102271333,3409.80952852791,82.73708222292666,3,1,71.55508559918232,114.04489456636331,64.15334992036124,18.313605169386374,150.39203844028938,3,1,168.07611921744038,233.63374925971695,67.23273359991855,109.17464918678361,48260.90261540791,244875979430235.1,408815296199537.8,809598074979886.5,435385621379116.56,958026640704147.0,3,1,1355444992491456.8,1884132600071527.2,45.1830359729383,67.77455395940746,3.891986505146814e+17,77.21851624710558,123.99216605163888,74.65730096595804,22.185435379400914,347048518487424.44,645342352048905.9,1824966948770241.8,877797413060262.4,100.77875471159999,101.55899380795,287.0074463,292.5793457,0.008002406,0.009,Rolls-Royce plc,Derby,2018-10-04,2018-10-04,Certification Report EDNS01000740804,,,,,,,
10,01P19RR111,1,Rolls-Royce plc,Trent 1000-J3,Phase5 Tiled,TF,8.93421,47.9557532661949,350.902440692,Yes,02P23RR131,2.72092483393309,2.2168919645287124,0.7185954342939509,0.26359168581854103,990.574516450452,43.3373,13.97,15.9,0.11,300.0,2649.08102271333,3409.80952852791,89.2487601271835,3,1,41.570054970580124,65.34186398992226,80.93544866119409,19.316352761546785,153.6664426768418,3,1,130.44325264653514,181.3222861364125,52.179075147169065,84.73004025066004,45772.85572547238,70917536306603.88,218020701962718.6,884727251403255.4,469324043326364.5,972287331549675.6,3,1,1189714765722548.0,1653759752185916.0,39.658507246664655,59.487760869996976,4.174738150193531e+17,44.4602214783195,70.3894054139829,93.0202088980582,23.22679154112017,95436739920099.55,303401290601305.5,1959862798141251.5,925422467240937.5,100.77875471159999,101.55899380795,287.0074463,292.5793457,0.008002406,0.009,Rolls-Royce plc,Derby,2018-10-04,2018-10-04,Certification Report EDNS01000740804,,,,,,,
